Elo	Username	W	L	T	Last update
1080.2835602905259	Battle Guard	2	0	0	Thu Jul 28 2016 16:06:33 GMT+0000 (UTC)
1000	Paul☯71◕‿◕	0	2	0	Thu Jul 28 2016 16:06:33 GMT+0000 (UTC)
